Symbol,Name,High,Low,Close,Volume,URL
ECN.DB,Ecn Capital Corp 6.0 Pct Debs,101.5,100.9,101.0,153000,http://eoddata.com//stockquote/TSX/ECN.DB.htm
ECN.DB.A,Ecn Capital Corp 6 Pct  Debs A,99.0,96.5,99.0,15000,http://eoddata.com//stockquote/TSX/ECN.DB.A.htm
ECN.DB.B,Ecn Capital Corp 6.25 Pct Debs,99.5,99.0,99.0,206000,http://eoddata.com//stockquote/TSX/ECN.DB.B.htm
ECN.PR.C,Ecn Capital Corp Pref Ser C,25.57,25.4,25.4,1000,http://eoddata.com//stockquote/TSX/ECN.PR.C.htm
ECO,Ecosynthetix Inc,5.62,5.32,5.38,5838,http://eoddata.com//stockquote/TSX/ECO.htm
EDGE,Evolve Innovation Index ETF,34.0,33.49,33.49,1203,http://eoddata.com//stockquote/TSX/EDGE.htm
EDGE.U,Evolve Innovation Index Fund Uhg ETF USD,20.04,20.04,20.04,200,http://eoddata.com//stockquote/TSX/EDGE.U.htm
EDGF,Brompton European Div Growth ETF,10.46,10.46,10.46,170,http://eoddata.com//stockquote/TSX/EDGF.htm
EDR,Endeavour Silver Corp,5.69,5.28,5.64,612800,http://eoddata.com//stockquote/TSX/EDR.htm
EDT,Spectral Medical Inc,0.34,0.325,0.335,75984,http://eoddata.com//stockquote/TSX/EDT.htm
EDV,Endeavour Mining Corp,32.66,32.33,32.4,637279,http://eoddata.com//stockquote/TSX/EDV.htm
EFL,Electrovaya Inc,0.75,0.74,0.74,17582,http://eoddata.com//stockquote/TSX/EFL.htm
EFN,Element Fleet Management Corp,12.2,11.95,12.11,496281,http://eoddata.com//stockquote/TSX/EFN.htm
EFN.DB.B,Element Fleet Management 4.25 Pct Debs,116.7,116.7,116.7,1000000,http://eoddata.com//stockquote/TSX/EFN.DB.B.htm
EFN.PR.A,Element Fleet Mgmt Corp Pref Ser A,26.79,26.25,26.79,14300,http://eoddata.com//stockquote/TSX/EFN.PR.A.htm
EFN.PR.C,Element Fleet Mgmt Corp Pref Ser C,26.07,25.85,26.07,3600,http://eoddata.com//stockquote/TSX/EFN.PR.C.htm
EFN.PR.E,Element Fleet Mgmt Corp Pref Ser E,26.0,25.85,26.0,5580,http://eoddata.com//stockquote/TSX/EFN.PR.E.htm
EFN.PR.I,Element Fleet Mgmt Corp Pref Ser I,25.36,25.31,25.31,1950,http://eoddata.com//stockquote/TSX/EFN.PR.I.htm
EFR,Energy Fuels Inc,8.59,8.13,8.21,633835,http://eoddata.com//stockquote/TSX/EFR.htm
EFX,Enerflex Ltd,7.69,7.46,7.46,186044,http://eoddata.com//stockquote/TSX/EFX.htm
EGIF,Exemplar Growth and Income Fund ETF,24.15,24.12,24.12,800,http://eoddata.com//stockquote/TSX/EGIF.htm
EGLX,Enthusiast Gaming Holdings Inc,3.8,3.51,3.56,449464,http://eoddata.com//stockquote/TSX/EGLX.htm
EHE,CI Wisdomtree Europe Hedged Equity Index,27.89,27.65,27.65,3661,http://eoddata.com//stockquote/TSX/EHE.htm
EHE.B,CI Wisdomtree Europe Hedged Equity Index,26.69,26.69,26.69,100,http://eoddata.com//stockquote/TSX/EHE.B.htm
EIF,Exchange Income Corp,43.69,42.85,42.98,89713,http://eoddata.com//stockquote/TSX/EIF.htm
EIF.DB.I,Exchange Income Corp 5.25 Pct Debs,100.3,100.0,100.0,392000,http://eoddata.com//stockquote/TSX/EIF.DB.I.htm
EIF.DB.J,Exchange Income Corp 5.35 Pct Debs,103.6,103.5,103.5,5000,http://eoddata.com//stockquote/TSX/EIF.DB.J.htm
EIF.DB.K,Exchange Income Corp 5.75 Pct Debs,104.5,104.5,104.5,35000,http://eoddata.com//stockquote/TSX/EIF.DB.K.htm
EIF.DB.L,Exchange Income Corp 5.25 Pct Debs,100.6,100.3,100.3,102000,http://eoddata.com//stockquote/TSX/EIF.DB.L.htm
EIF.DB.M,Exchange Income Corp 5.25 Pct Debs,99.9,99.5,99.5,249000,http://eoddata.com//stockquote/TSX/EIF.DB.M.htm
EINC,E Automotive Inc,12.9,11.95,12.0,8155,http://eoddata.com//stockquote/TSX/EINC.htm
EIT.PR.A,Canoe Eit Income Fund Pref Ser 1,25.49,25.21,25.4,5921,http://eoddata.com//stockquote/TSX/EIT.PR.A.htm
EIT.PR.B,Canoe Eit Income Fund Pref Ser 2,25.51,25.5,25.5,700,http://eoddata.com//stockquote/TSX/EIT.PR.B.htm
EIT.UN,Canoe Eit Income Fund Units,13.35,13.13,13.2,325147,http://eoddata.com//stockquote/TSX/EIT.UN.htm
ELD,Eldorado Gold,14.25,13.75,14.16,686929,http://eoddata.com//stockquote/TSX/ELD.htm
